Pubchem_SID,Pubchem_CID,SMILES,Activity_Outcome
857377,658723,COC(=O)C1=C(C2=C(N1)C=CC(=C2)Br)NC(=O)CN3CCN(CC3)C4CCCCC4,Active
858319,659654,C1=CN=CC=C1C2=NC3=CC(=C(C=C3N2)F)F,Active
858386,6603569,CC1=CC2=C(C=C1)N([C@@H]3[C@H]2CN(CC3)C)S(=O)(=O)C4=CC=C(C=C4)F.Cl,Active
858595,659902,CC1CCCCN1C2=NC(=NC3=CC=CC=C32)C4=CC=NC=C4,Active
858981,660285,COC1=CC=C(C=C1)S(=O)(=O)N2CCC(CC2)N3CCCCC3,Active
859244,660546,CC1=CC(=CC=C1)OCC(=O)N2CCC(CC2)N3CCCCCC3,Active
859914,661217,C1=CC=C(C=C1)CNC2=C(N=C(O2)C3=CC=CS3)C#N,Active
860472,661761,CCOC(=O)C1=C(C2=CC3=C(C=C2N1)OCO3)NC(=O)CN4CCC5=CC=CC=C5C4,Active
860735,662011,CCN1CCCC1CN2C=NC3=C(C2=O)NC4=C3C=C(C=C4)C,Active
860868,662144,CCOC(=O)C1=C(N(C2=C1C(=C(C=C2)OC)NC(=O)CN3CCN(CC3)CC4=CC=CC=C4)C)C,Active
860967,5775,CC1=CC=C(C=C1)N(CC2=NCCN2)C3=CC(=CC=C3)O,Active
861383,6603499,CC(CN1CCN(CC1)C)OC(=O)C2=CC(=C(C=C2)OC)OC.Cl,Active
861425,662670,COC1=CC2=C(C=C1)C(=C(N2)C(=O)OC)NC(=O)C3=CC4=C(C=C3)OCO4,Active
861640,662878,CCOC1=CC=CC=C1NC(=O)CSC2=NN=C(N2C)C3=NC=CN=C3,Active
861762,662991,CC1=C(C(=NN1)C2=C(C=C(C=C2)O)O)C3=CC=C(C=C3)Cl,Active
861846,6603621,C1=CC=C(C(=C1)CSC2=NN=C(O2)CCCCCN)Cl.Cl,Active
861895,663121,C1=CC=C(C=C1)S(=O)(=O)C2=C(N(C3=NC4=CC=CC=C4N=C23)CC5=CC=CO5)N,Active
861899,663125,C1=CC(=CC=C1C2=C(NN=C2)C3=C(C=C(C=C3)O)O)Cl,Active
861921,663146,COC1=CC2=C(C=C1)C3=C(N2)C(=NC=N3)N4CCN(CC4)CC5=CC6=C(C=C5)OCO6,Active
862119,663340,COC1=CC=C(C=C1)CCN2C3=C(C=C(C2=N)C(=O)NCC4=CC=CO4)C(=O)N5C=CC=CC5=N3,Active
862506,663736,COC(=O)[C@H](CC1=CC=CC=C1)NC(=O)N2CCN(CC2)CC3=CC=CC=C3,Active
862563,663792,CCOCCCN1C2=C(C=C(C1=N)C(=O)NCC3=CC4=C(C=C3)OCO4)C(=O)N5C=CC=C(C5=N2)C,Active
862915,664154,CC1=CC2=C(C=C1)C(=C(N2)C(=O)OC)NC(=O)CN3CCCC4=CC=CC=C43,Active
863322,6603365,C1=CC=C2C(=C1)C3=C(O2)C(=NC=N3)NCCCN4C=CN=C4.Cl,Active
863483,664737,CCN1C2=C(C=C(C1=N)S(=O)(=O)C3=CC=C(C=C3)F)C(=O)N4C=CC=CC4=N2,Active
863506,664759,C1CN(CCN1CC2=CC=CC=C2)CC(=O)C3=CC=C(C=C3)Br,Active
863722,664974,CC(C)CN1C=NC2=C(C1=N)C(C3=C(O2)CC(CC3=O)(C)C)C4=CC=C(C=C4)OC,Active
863915,6602811,CCCCCCN1CC2=CC=CC=C2C1.Br,Active
864480,665725,CN1C2=C(C=C(C1=N)S(=O)(=O)C3=CC=C(C=C3)F)C(=O)N4C=CC=CC4=N2,Active
3712252,2997950,COC1=CC=C(C=C1)C(CNC(=O)C2=CC(=O)NC3=CC=CC=C32)N4CCCC4,Active
3712461,2161188,CC1=CC(=C(N1CCC2=CC=C(C=C2)F)C)C(=O)CSC3=NN=C(S3)N,Active
3712493,2998040,CC(C(=O)NCC1=CC2=C(C=C1)OCO2)N3C4=CC=CC5=C4C(=CC=C5)S3(=O)=O,Active
3712600,350843,CC1CN=C(S1)NC2=CC=CC3=CC=CC=C32,Active
3712607,6461550,COC1=CC=CC=C1CNCC2=CC=CS2.Cl,Active
3715149,2999101,CCC1=CC=C(C=C1)C2=NN3C(=NN=C3SC2)C4=CC=CS4,Active
3716051,2083491,CC1=NC2=CC=CC=C2C(=C1)C(=O)NC3=CC=C(C=C3)N4CCOCC4,Active
3716458,2999625,CCCN1C2=CC=CC=C2N=C1NC(=O)C3CCN(CC3)S(=O)(=O)C4=CC=CS4,Active
3716539,2434657,CCN(CC)S(=O)(=O)C1=CC=C(C=C1)NC(=O)COC(=O)C2=CC=C(O2)Br,Active
3716661,733062,CCS(=O)(=O)C1=CC(=C(C=C1)O)NC(=O)NC2=CC=CC=C2,Active
3716893,2999794,CC1=CC(=NN1CCCNCC(C2=CC=CC=C2)O)C.C(=O)(C(=O)O)O,Active
3717090,2882730,C1CN(CC2=CC=CC=C21)CC(COCC3COC4=CC=CC=C4O3)O.Cl,Active
3717359,2999963,CC1=C(SC2=C1C(=O)NC(=N2)CSC3=NC4=CC=CC=C4N3CCOC)C(=O)OC.CN(C)C=O,Active
3717526,6603002,C1=CC=C(C=C1)OC2=CC=CC(=C2)NC(=O)CN3C=CSC3=N.Cl,Active
3717932,2326513,CCN(CC)S(=O)(=O)C1=C(C=CC(=C1)C(=O)NC2=CC=NC=C2)Cl,Active
4237471,3232584,CCNC1=NC=C2C(=N1)N(C(=O)C(=N2)C3=CC=CC(=C3)C#N)CCC#N,Active
4237474,3232587,COC1=CC=CC=C1C2=NC3=CC=CC=C3C(=N2)NCC4=CC=CC=C4,Active
4237482,3232595,C1OC2=C(O1)C=C(C=C2)C3=CN=CN=C3NCC4=CC=CC=C4,Active
4237487,3232600,COC1=CC2=C(C=C1)NC=C2CCNC3=NC(=NC=C3)C4=COC=C4,Active
4237491,3232604,CC1=C(C(=NO1)C)C2=CC3=C(C=C2)N=CN=C3NCCC4=CNC5=C4C=C(C=C5)OC,Active
4237493,3232606,CC1=CC=CC=C1C2=NC3=CC=CC=C3C(=N2)N(C)CC4=CC=CO4,Active
4237497,3232610,COC1=CC(=C(C=C1)CNC2=NC=NC3=C2C=C(C=C3)C4=CC5=C(C=C4)OCO5)OC,Active
4237506,3232619,CNC1=NC=NC2=C1C=C(C=C2)C3=CC(=CC=C3)OC,Active
4237527,3232640,C1CN(CCC12CCN(CC2)C(=O)C3=CC=NC=C3)C(C4=CC=CC=C4)C5=CC=CC=C5,Active
4237536,3232649,C1CC2(CCNCC2)CN(C1)C3=CC=CC=N3,Active
4237537,3232650,CC1=CC=CC=C1C2=CN=CN=C2NCCC3=CNC4=C3C=C(C=C4)OC,Active
4237538,3232651,COC1=CC=CC=C1C2=NC3=CC=CC=C3C(=N2)NCC4=CC=CS4,Active
4237542,3232655,CN(C)C(=O)C1=CC=C(C=C1)C2=NC3=CC=CC=C3C(=N2)N4C=CN=C4,Active
4237544,3232657,COC1=CC=CC(=C1)C2=NC=CC(=N2)NCC3=CC=CC=C3OC,Active
4237550,3232663,CN(CC1=CC=CO1)C2=NC(=NC=C2)C3=CN=CC=C3,Active
4237556,3232669,CC(C)CN1CC[C@]2(C1)CCCN(C2)C(=O)C3=CSN=N3,Active
4237559,3232672,COC1=CC2=C(C=C1)NC=C2CCNC3=NC=NC=C3C4=CN=CC=C4,Active
4237563,3232676,COC1=CC=CC(=C1)C2=NC=CC(=N2)N3C=CN=C3,Active
4237566,3232679,CC(C)NC(=O)N1CCCC2(C1)CCN(CC2)C(=O)C3=CC=CO3,Active
4237579,3232692,C1=CC=C(C(=C1)C2=CC3=C(C=C2)N=CN=C3NCC4=CC=CS4)C(F)(F)F,Active
4237585,3232698,CC1=CC=CC=C1C2=CN=CN=C2NCC3=CC=CC=C3,Active
4237593,3232706,C1=CC=C(C=C1)CNC2=NC=NC(=C2)C3=CN=CC=C3,Active
4237598,3232711,CC(=O)N1CCC2(CCCN(C2)C(C3=CC=CC=C3)C4=CC=CC=C4)CC1,Active
4237603,3232716,CS(=O)(=O)N1CCC2(CCCN(C2)C3=NC=CC=N3)CC1,Active
4237605,3232718,CC1=CC(=CC=C1)CNC2=NC(=NC=C2)C3=CC=CC=C3CN(C)C,Active
4237609,3232722,C1C[C@@]2(CCN(C2)CC3=CC=NC=C3)CN(C1)C(=O)C4=CC(=CC(=C4)C(F)(F)F)C(F)(F)F,Active
4237616,3232729,C1CC2(CCN(CC2)S(=O)(=O)C3=CC=CC=C3)CN(C1)CC4=CC=CC=C4,Active
4237621,3232734,C1C[C@@]2(CCN(C2)C3=CC=CC(=C3)C4=CC=CC=C4)CNC1,Active
4237625,3232738,C1CC2(CCN(CC2)S(=O)(=O)C3=CC=CC=C3)CN(C1)C4=NC=CC=N4,Active
4237632,3232745,C1C[C@@]2(CCN(C2)CC3=CC=CC=C3)CN(C1)C(=O)C4=CC(=CC(=C4)C(F)(F)F)C(F)(F)F,Active
4237633,3232746,COC1=CC=CC=C1C2=CC(=NC=N2)N3C=CN=C3,Active
4237634,3232747,COC1=CC(=C(C=C1)CNC2=NC=NC3=C2C=C(C=C3)C4=CN=CC=C4)OC,Active
4237654,3232767,C1CN(CCC12CCN(CC2)C(=O)C3=CC=CO3)C4=CC=NC=C4,Active
4237655,3232768,C1CC2(CCN(CC2)C(=O)C3=CC=CO3)CN(C1)C4=CC=CC=N4,Active
4237662,3232775,COC1=CC=CC=C1CNC2=NC=NC=C2C3=COC=C3,Active
4237663,3232776,COC1=CC=CC=C1CN2CC[C@]3(C2)CCCN(C3)C(=O)C4=CC(=CC(=C4)C(F)(F)F)C(F)(F)F,Active
4237664,3232777,CCNC1=NC=C2C(=N1)N(C(=O)C(=N2)C3=CC=CC=C3)CCC4=CC=CC=C4,Active
4237665,3232778,COC1=CC=CC=C1CN2CC[C@]3(C2)CCCN(C3)C(=O)C4=NC=CN=C4,Active
4237672,3232785,COC(=O)N1CCC[C@]2(C1)CCN(C2)C(C3=CC=CC=C3)C4=CC=CC=C4,Active
4237673,3232786,C1=CSC(=C1)CNC2=NC=NC=C2C3=COC=C3,Active
4237679,3232792,CCNC1=NC=C2C(=N1)N(C(=O)C(=N2)CCC3=CC=CC=C3)CCC#N,Active
4237687,3232800,COC1=CC=CC=C1C2=CN=CN=C2NCC3=CC=CS3,Active
4237690,3232803,CC(C)CN1CC2(C1)CCN(CC2)S(=O)(=O)C3=CC=CC=C3,Active
4237691,3232804,COC(=O)N1CCC2(CCCN(C2)CC3=CC=CC=C3)CC1,Active
4237703,3232816,COC1=CC=CC=C1CN2CC[C@]3(C2)CCCN(C3)S(=O)(=O)C,Active
4237705,3232818,C1C[C@@]2(CCN(C2)CC3=CC=NC=C3)CN(C1)C(=O)C4=CSN=N4,Active
4237707,3232820,CC1=C(C(=NO1)C)C2=NC3=CC=CC=C3C(=N2)N(C)CC4=CC=CO4,Active
4237711,3232824,CN(C)C1=CC=C(C=C1)C2=CN=CN=C2NCCC3=CNC4=C3C=C(C=C4)OC,Active
4237716,3232829,C1COCCN1CCNC2=NC(=NC3=CC=CC=C32)C4=CC=CC=C4C#N,Active
4237719,3232832,CN(C)CC1=CC=CC=C1C2=CC3=C(C=C2)N=CN=C3NCC4=C(C=C(C=C4)OC)OC,Active
4237726,3232839,C1=CC=C(C=C1)CNC2=NC=NC3=C2C=C(C=C3)C4=CN=CC=C4,Active
4237735,3232848,CC1=CC=CC=C1C2=CN=CN=C2NCCC3=CN=CN3,Active
4237737,3232850,CN(C)CC1=CC=CC=C1C2=NC3=CC=CC=C3C(=N2)N(C)C,Active
4237744,3232857,CCNC1=NC=C2C(=N1)N(C(=O)C(=N2)CCC3=CC=CC=C3)C[C@H]4CCCO4,Active
4237749,3232862,CN(CC1=CC=CO1)C2=NC(=NC3=CC=CC=C32)C4=CC5=C(C=C4)OCO5,Active
4237751,3232864,C1CN(CCC12CCN(CC2)C(=O)C3=NC=CN=C3)CC4=CC=C(C=C4)C#N,Active
4237753,3232866,CC(=O)NCCNC1=NC(=NC2=CC=CC=C21)C3=CC(=CC=C3)OC,Active
4237758,3232871,CC1=CC=CC=C1C2=CC3=C(C=C2)N=CN=C3NC4CC4,Active
4237759,3232872,COC1=CC2=C(C=C1)NC=C2CCNC3=NC=NC(=C3)C4=CC=CC=C4Cl,Active
4237764,3232877,C1CN(CCC12CCN(CC2)C(=O)C3=CSN=N3)CC4=CC(=CC(=C4)C(F)(F)F)C(F)(F)F,Active
4237767,3232880,COCC(=O)N1CCC2(CCN(CC2)C3=CC=C(C=C3)C4=CC=CC=C4)CC1,Active
4237769,3232882,COC1=CC=C(C=C1)C(=O)N2CCC[C@]3(C2)CCN(C3)CC4=CC=CC=C4OC,Active
4237770,3232883,C1C[C@@]2(CCN(C2)CC3=NC=CS3)CN(C1)C(=O)C4=CSN=N4,Active
4237773,3232886,COC1=CC(=C(C=C1)CNC2=NC=NC=C2C3=CC(=CC=C3)NS(=O)(=O)C)OC,Active
4237776,3232889,C1CN(CCC12CN(C2)C(C3=CC=CC=C3)C4=CC=CC=C4)S(=O)(=O)C5=CC=CC=C5,Active
4237777,3232890,COC1=CC=CC(=C1)C2=CN=CN=C2NCCN3CCOCC3,Active
4237782,3232895,CC1=CC=CC=C1C2=CC(=NC=N2)NCC3=C(C=C(C=C3)OC)OC,Active
4237792,3232905,CC(C)CN1CC2(C1)CCN(CC2)C(=O)C3=CC=CO3,Active
4237796,3232909,CN(C)C1=NC(=NC2=CC=CC=C21)C3=CC=CC=C3C(F)(F)F,Active
4237802,3232915,CN(C)CC1=CC=CC=C1C2=CN=CN=C2NCC3=CC=CC=C3OC,Active
4237803,3232916,CN(C)CC1=CC=CC=C1C2=NC=CC(=N2)N(C)CC3=CC=CO3,Active
4237807,3232920,COC1=CC2=C(C=C1)NC=C2CCNC3=NC=NC(=C3)C4=CC5=C(C=C4)OCO5,Active
4237808,3232921,C1CC2(CCN(CC2)C(=O)C3=CC=CO3)CN(C1)C(C4=CC=CC=C4)C5=CC=CC=C5,Active
4237815,3232928,CN1CCN(CC1)C2=NC=NC3=C2C=C(C=C3)C4=COC=C4,Active
4237816,3232929,CCNC1=NC=C2C(=N1)N(C(=O)C(=N2)C3=CC=CC=C3)CCC#N,Active
4237836,3232949,COC1=CC2=C(C=C1)NC=C2CCNC3=NC(=NC4=CC=CC=C43)C5=CC(=CC=C5)OC,Active
4237838,3232951,C1CC2(CCN(CC2)C(=O)C3=CSN=N3)CN(C1)C(C4=CC=CC=C4)C5=CC=CC=C5,Active
4237840,3232953,CN(CC1=CC=CO1)C2=NC=NC=C2C3=CC4=C(C=C3)OCO4,Active
4237841,3232954,COC1=CC=CC(=C1)C2=CN=CN=C2NCCC3=CN=CN3,Active
4237849,3232962,CN(C)CC1=CC=CC=C1C2=CC(=NC=N2)NCC3=C(C=C(C=C3)OC)OC,Active
4237852,3232965,CCNC1=NC=C2C(=N1)N(C(=O)C(=N2)CCC3=CC=CC=C3)C4=CC=CC=C4,Active
4237853,3232966,CN(C)CC1=CC=CC=C1C2=NC3=CC=CC=C3C(=N2)N4CCOCC4,Active
4237858,3232971,CC(=O)NCCNC1=NC=NC2=C1C=C(C=C2)C3=CC=CC=C3Cl,Active
4237859,3232972,COC1=CC=CC=C1CNC2=NC(=NC=C2)C3=CC=CC=C3OC,Active
4237866,3232979,C1=CC=C(C=C1)CNC2=NC=NC=C2C3=COC=C3,Active
4237868,3232981,CN(CC1=CC=CO1)C2=NC=NC(=C2)C3=CC4=C(C=C3)OCO4,Active
4237869,3232982,CN(C)C1=CC=C(C=C1)C2=CN=CN=C2NCC3=C(C=C(C=C3)OC)OC,Active
4237871,3232984,C1CC2(CCN(CC2)C(=O)C3=CC(=CC=C3)F)CN(C1)CC4=CC=NC=C4,Active
4237876,3232989,COC1=CC=CC=C1CNC2=NC(=NC=C2)C3=CN=CC=C3,Active
4237879,3232992,CN(C)CC1=CC=CC=C1C2=CC(=NC=N2)NCC3=CC=CC=C3OC,Active
4237881,3232994,CC(=O)N1CCC2(CCN(CC2)CC3=CC=CC=C3OC)CC1,Active
4237883,3232996,COC1=CC2=C(C=C1)NC=C2CCNC3=NC=NC(=C3)C4=CC=CC=C4OC,Active
4237889,3233002,CN1C=CC=C1C(=O)N2CCC3(CCCN(C3)CC4=CC=NC=C4)CC2,Active
4237899,3233012,CN(CC1=CC=CO1)C2=NC=NC3=C2C=C(C=C3)C4=CC5=C(C=C4)OCO5,Active
4237903,3233016,COC1=CC(=C(C=C1)CNC2=NC(=NC=C2)C3=CC=CC=C3OC)OC,Active
4237904,3233017,CN(CC1=CC=CO1)C2=NC=NC3=C2C=C(C=C3)C4=CC=CC=C4C(F)(F)F,Active
4237905,3233018,CC1=CC(=CC=C1)CNC2=NC(=NC=C2)C3=CC=CC=C3Cl,Active
4237913,3233026,CN(C)CC1=CC=CC=C1C2=NC3=CC=CC=C3C(=N2)NCC4=CC=CS4,Active
4237914,3233027,C1C[C@@]2(CCN(C2)C(C3=CC=CC=C3)C4=CC=CC=C4)CN(C1)C(=O)C5=CC=NC=C5,Active
4237916,3233029,CN(C)CC1=CC=CC=C1C2=CC3=C(C=C2)N=CN=C3N4CCOCC4,Active
4237919,3233032,CC1=CC(=CC=C1)CNC2=NC=NC=C2C3=CC4=C(C=C3)OCO4,Active
4237930,3233043,C1=CC=C(C(=C1)C2=NC=CC(=N2)NCC3=CC=CS3)C(F)(F)F,Active
4237934,3233047,CN(CC1=CC=CO1)C2=NC=NC3=C2C=C(C=C3)C4=CC=CC=C4C#N,Active
4237935,3233048,CN(C)CC1=CC=CC=C1C2=NC3=CC=CC=C3C(=N2)NCC4=C(C=C(C=C4)OC)OC,Active
4237937,3233050,COC1=CC=CC=C1C2=CN=CN=C2NCC3=CC=CC=C3,Active
4237938,3233051,C1CC2(CCN(CC2)C(=O)C3=CC=NC=C3)CN(C1)CC4=CC=NC=C4,Active
4237940,3233053,CN(CC1=CC=CO1)C2=NC=NC3=C2C=C(C=C3)C4=CN=CC=C4,Active
4237944,3233057,CN(C)CC1=CC=CC=C1C2=CC3=C(C=C2)N=CN=C3NCC4=CC=CS4,Active
4237947,3233060,COC1=CC=C(C=C1)NC(=O)N2CCC3(CC2)CCN(CC3)C(=O)OC4=CC=CC=C4,Active
4237956,3233069,COC1=CC(=C(C=C1)CNC2=NC(=NC=C2)C3=CC4=C(C=C3)OCO4)OC,Active
4237962,3233075,CNC1=NC(=NC2=CC=CC=C21)C3=CC=CC=C3CN(C)C,Active
4237964,3233077,CN(C)CC1=CC=CC=C1C2=CN=CN=C2NCC3=CN=CC=C3,Active
4237966,3233079,C1CC2(CCN(CC2)S(=O)(=O)C3=CC=CC=C3)CN(C1)C(=O)NC4=CC(=CC=C4)F,Active
4237971,3233084,C1=CC(=CC(=C1)C2=NC=CC(=N2)N3C=CN=C3)C#N,Active
4237973,3233086,COC1=CC=CC=C1CN2CCCC3(C2)CCN(CC3)C(=O)OC,Active
4237974,3233087,CC(=O)NCCNC1=NC(=NC2=CC=CC=C21)C3=CC4=C(C=C3)OCO4,Active
4237980,3233093,C1C[C@@]2(CCN(C2)C3=NC=CC=N3)CNC1,Active
4237981,3233094,C1=CC=C(C=C1)CNC2=NC(=NC=C2)C3=COC=C3,Active
4238000,3233113,CN(C)C1=NC(=NC2=CC=CC=C21)C3=CC4=C(C=C3)OCO4,Active
4238005,3233118,CS(=O)(=O)N1CCC[C@]2(C1)CCN(C2)CC3=CC=CC=C3,Active
4238007,3233120,COC1=CC=CC=C1CNC2=NC(=NC3=CC=CC=C32)C4=CC=CC(=C4)C#N,Active
4238022,3233135,CS(=O)(=O)NC1=CC=CC(=C1)C2=NC3=CC=CC=C3C(=N2)N4CCNCC4,Active
4238025,3233138,C1CN(CCC12CCN(CC2)C(=O)C3=CC=CO3)CC4=CC=CC=C4,Active
4238034,3233147,CN(C)CC1=CC=CC=C1C2=CN=CN=C2NCC3=C(C=C(C=C3)OC)OC,Active
4238036,3233149,CNC1=NC=NC2=C1C=C(C=C2)C3=CC=CC=C3CN(C)C,Active
4238038,2474854,C1=CC=C2C(=C1)C(=NC(=N2)C3=CN=CC=C3)NCC4=CC=CS4,Active
4238039,3233151,CC1=CC(=CC=C1)CNC2=NC(=NC=C2)C3=CC=CC=C3OC,Active
4238040,3233152,CN1C=CC=C1C(=O)N2CCC[C@]3(C2)CCN(C3)CC4=CC(=CC(=C4)C(F)(F)F)C(F)(F)F,Active
4238044,3233156,CC1=C(C(=NO1)C)C2=NC3=CC=CC=C3C(=N2)NCCC4=CNC5=C4C=C(C=C5)OC,Active
4238047,3233159,CNC1=NC(=NC=C1)C2=CC=CC=C2OC,Active
4238049,3233161,C1=CC=C(C(=C1)C2=CN=CN=C2NCCC3=CN=CN3)Cl,Active
4238061,805524,C1COCCN1CCNC2=NC(=NC3=CC=CC=C32)C4=CN=CC=C4,Active
4238069,3233180,CC(=O)NCCNC1=NC=NC2=C1C=C(C=C2)C3=CC=CC=C3C(F)(F)F,Active
4238074,3233185,CC1=CC(=CC=C1)CNC2=NC(=NC=C2)C3=CC=C(C=C3)N(C)C,Active
4238079,3233190,C1OC2=C(O1)C=C(C=C2)C3=CN=CN=C3NCCC4=CN=CN4,Active
4238093,3233204,CC(C)CN1CCC2(CC1)CCN(CC2)C(=O)C3=CC(=CC=C3)F,Active
4238099,3233210,C1C[C@@]2(CCN(C2)CC3=CC=NC=C3)CN(C1)C(=O)C4=CC=NC=C4,Active
4238102,3233213,CN1CCN(CC1)C2=NC=NC3=C2C=C(C=C3)C4=CC5=C(C=C4)OCO5,Active
4238107,3233218,COC(=O)N1CCC2(CC1)CN(C2)C(C3=CC=CC=C3)C4=CC=CC=C4,Active
4238114,3233225,C1=CC=C(C=C1)CNC2=NC(=NC=C2)C3=CC=CC(=C3)C#N,Active
4238116,3233227,C1OC2=C(O1)C=C(C=C2)C3=CN=CN=C3NC4=CC=CC=C4,Active
4238119,3233230,CCNC1=NC=C2C(=N1)N(C(=O)C(=N2)C3=CC(=CC(=C3)F)F)CCC4=CC=CC=C4,Active
4238121,3233232,COC1=CC2=C(C=C1)NC=C2CCNC3=NC=NC=C3C4=CC(=CC=C4)NS(=O)(=O)C,Active
4238123,3233234,CN(C)CC1=CC=CC=C1C2=NC3=CC=CC=C3C(=N2)NCC4=CC=CC=C4,Active
4238124,3233235,CN1C=CC=C1C(=O)N2CCC[C@]3(C2)CCN(C3)CC4=CC=CC=C4OC,Active
4238130,3233241,CC(=O)NCCNC1=NC=NC2=C1C=C(C=C2)C3=CC4=C(C=C3)OCO4,Active
4238134,3233245,CN(C)CC1=CC=CC=C1C2=CC3=C(C=C2)N=CN=C3N(C)CC4=CC=CO4,Active
4238136,3233247,COC1=CC=CC=C1CNC2=NC=NC=C2C3=CC4=C(C=C3)OCO4,Active
4238137,3233248,C1COCCN1CCNC2=NC(=NC3=CC=CC=C32)C4=CC=CC(=C4)C#N,Active
4238142,3233253,C1C[C@@]2(CCN(C2)C(=O)NC3=CC=CC=C3)CN(C1)C(=O)C4=CC(=CC(=C4)C(F)(F)F)C(F)(F)F,Active
4238143,3233254,COC1=CC2=C(C=C1)NC=C2CCNC3=NC=NC=C3C4=CC5=C(C=C4)OCO5,Active
4238146,3233257,COC1=CC2=C(C=C1)NC=C2CCNC3=NC=NC4=C3C=C(C=C4)C5=CC6=C(C=C5)OCO6,Active
4238150,3233261,C1=CC=C(C(=C1)C2=CC3=C(C=C2)N=CN=C3NCC4=CN=CC=C4)C(F)(F)F,Active
4238154,3233265,C1CN(CCC12CCN(CC2)C(=O)C3=CSN=N3)CC4=CC=CC=C4,Active
4238158,3233269,COC1=CC=CC=C1CN2CCC3(CCNCC3)CC2,Active
4238160,3233271,COC1=CC(=C(C=C1)CNC2=NC(=NC=C2)C3=CC(=CC=C3)OC)OC,Active
